,source,target
0,290883,2956836471
1,1471971,1205226529455632385
2,2052911,1401015246718914560
3,2052911,1353366187791560704
4,2052911,2202063265
5,2052911,1317817827970134025
6,2052911,316797199
7,2827221,4018888580
8,3688111,1499295169870319616
9,4254951,282076470
10,4615341,27493883
11,4937571,4018888580
12,5404582,2322424306
13,5516892,4018888580
14,5749002,2301844336
15,5849252,1142623492141211650
16,6266142,1081484761934319623
17,6266142,2956836471
18,6691762,906273126
19,6691762,930458352
20,6691762,2986274967
21,6691762,440756482
22,6691762,1131577366105526272
23,6691762,1247652514478112773
24,6691762,1044973248
25,6691762,536549984
26,6691762,3380227725
27,6691762,364702177
28,6691762,2202220496
29,7078452,282076470
30,7703052,1235584294111850496
31,7777302,1270133776748855304
32,7777302,24403753
33,8007502,4018888580
34,8052182,2956836471
35,9063952,2401156465
36,9147152,2670627368
37,9731332,2956836471
38,11025592,16476911
39,11076222,1141886020281085953
40,11486222,27493883
41,11567702,241581504
42,12512292,705539763349164032
43,12610772,392557812
44,12610772,754913164827959300
45,12610772,1362172682
46,12610772,101621819
47,12610772,114232355
48,13301942,2892619148
49,13525132,1354780456714174467
50,13748912,1247260723480231939
51,14118020,443369826
52,14132126,319619581
53,14132126,1402869817
54,14152382,2202063265
55,14214964,319619581
56,14218303,754913164827959300
57,14314815,826226272418283520
58,14410543,27493883
59,14430522,771850346
60,14446152,1355917827052457987
61,14449273,17027632
62,14449273,4018888580
63,14465456,19418649
64,14491785,27493883
65,14496536,1045412502
66,14496536,873185490375233537
67,14496536,1238978283158593537
68,14496536,265987858
69,14496536,52260914
70,14496536,1237437196564602885
71,14496536,1401015246718914560
72,14496536,552076163
73,14496536,3362644653
74,14496536,276442577
75,14496536,716777950981591041
76,14496536,4201924096
77,14496536,1148610685212987392
78,14519073,2999478886
79,14519073,117252134
80,14522241,771383605
81,14535500,319619581
82,14542602,27493883
83,14568965,889937894202363904
84,14615214,1274181392876941313
85,14719297,27493883
86,14761966,18427567
87,14804672,2892619148
88,14808213,1270133776748855304
89,14808213,26443215
90,14828950,24403753
91,14834002,4018888580
92,14843373,1238776140094996481
93,14843373,919915692375330816
94,14932805,49427517
95,14944543,17027632
96,14986544,1358152121556873217
97,15021056,17027632
98,15029604,27493883
99,15029604,1205226529455632385
100,15055787,2616995078
101,15060697,18109429
102,15074415,27493883
103,15085192,760694335356690432
104,15090241,2956836471
105,15108492,4018888580
106,15121590,1303820156754419713
107,15121590,386072477
108,15121590,3038308638
109,15176236,41929595
110,15189852,1247260723480231939
111,15251710,241581504
112,15262299,1358152121556873217
113,15265442,27493883
114,15341755,194380905
115,15372674,27493883
116,15389395,2956836471
117,15391466,27493883
118,15391966,4018888580
119,15449744,1256705564
120,15464687,27493883
121,15465785,2956836471
122,15505922,241581504
123,15521789,27493883
124,15525413,414451708
125,15525413,551338399
126,15573838,1270133776748855304
127,15579178,2401156465
128,15593694,891963858193178624
129,15651835,27493883
130,15652824,27493883
131,15654137,2301844336
132,15666539,2301844336
133,15679351,1205226529455632385
134,15693168,2616995078
135,15713194,27493883
136,15719868,4009632850
137,15727736,24403753
138,15741261,47891027
139,15770843,2301844336
140,15784401,147401660
141,15794264,27493883
142,15814107,17027632
143,15875670,1447541603015528454
144,15885005,17027632
145,15901907,2956836471
146,15925111,2460279166
147,15925111,368024466
148,15925111,2742542732
149,15926892,91176799
150,15933307,24403753
151,15964748,27493883
152,16136445,27493883
153,16156052,443369826
154,16165381,27493883
155,16169151,1256705564
156,16176454,760694335356690432
157,16176454,1270133776748855304
158,16177690,1402869817
159,16178962,468851612
160,16178962,24040718
161,16178962,1245025821611438080
162,16178962,1362459944658767872
163,16178962,281896592
164,16178962,3191478638
165,16178962,873547291524833280
166,16178962,709473725
167,16178962,1046550803614318592
168,16178962,16408207
169,16178962,2698952972
170,16178962,837173140946026497
171,16178962,1254057724842778624
172,16178962,22875032
