,cat_t0,cat_t1,cat_t2
290883,pax,dontcare,pax
1471971,proukr,proukr,proukr
2052911,pax,dontcare,pax
2827221,dontcare,proukr,dontcare
3688111,proukr,proukr,dontcare
4254951,proukr,dontcare,pax
4615341,proukr,dontcare,pax
4937571,pax,proukr,proukr
5404582,pax,proukr,proukr
5516892,proukr,dontcare,pax
5749002,proukr,proukr,proukr
5849252,proukr,proukr,dontcare
6266142,proukr,proukr,dontcare
6691762,proukr,proukr,dontcare
7078452,proukr,proukr,dontcare
7703052,proukr,dontcare,dontcare
7777302,proukr,dontcare,pax
8007502,proukr,dontcare,pax
8052182,proukr,proukr,dontcare
9063952,proukr,dontcare,pax
9147152,proukr,dontcare,pax
9731332,dontcare,proukr,dontcare
11025592,proukr,proukr,dontcare
11076222,dontcare,proukr,dontcare
11486222,dontcare,proukr,dontcare
11567702,pax,proukr,dontcare
12512292,proukr,dontcare,pax
12610772,pax,dontcare,pax
13301942,proukr,proukr,proukr
13525132,dontcare,proukr,dontcare
13748912,proukr,dontcare,dontcare
14118020,prorus,dontcare,pax
14132126,proukr,proukr,dontcare
14152382,pax,dontcare,pax
14214964,proukr,proukr,dontcare
14218303,proukr,proukr,proukr
14314815,proukr,dontcare,pax
14410543,proukr,proukr,dontcare
14430522,proukr,dontcare,pax
14446152,proukr,dontcare,pax
14449273,proukr,proukr,dontcare
14465456,dontcare,proukr,dontcare
14491785,proukr,proukr,dontcare
14496536,proukr,dontcare,pax
14519073,proukr,dontcare,pax
14522241,proukr,proukr,proukr
14535500,proukr,dontcare,pax
14542602,pax,proukr,dontcare
14568965,proukr,dontcare,pax
14615214,proukr,proukr,dontcare
14719297,proukr,proukr,dontcare
14761966,proukr,proukr,dontcare
14804672,proukr,proukr,dontcare
14808213,pax,proukr,proukr
14828950,proukr,proukr,dontcare
14834002,proukr,proukr,dontcare
14843373,pax,proukr,dontcare
14932805,dontcare,proukr,dontcare
14944543,pax,proukr,dontcare
14986544,proukr,dontcare,pax
15021056,proukr,proukr,proukr
15029604,proukr,proukr,proukr
15055787,dontcare,proukr,dontcare
15060697,proukr,dontcare,pax
15074415,proukr,proukr,dontcare
15085192,pax,dontcare,pax
15090241,pax,proukr,dontcare
15108492,pax,dontcare,dontcare
15121590,proukr,proukr,dontcare
15176236,pax,dontcare,pax
15189852,proukr,proukr,dontcare
15251710,proukr,proukr,proukr
15262299,pax,proukr,dontcare
15265442,proukr,dontcare,pax
15341755,proukr,proukr,proukr
15372674,proukr,dontcare,pax
15389395,pax,dontcare,pax
15391466,proukr,proukr,dontcare
15391966,proukr,proukr,dontcare
15449744,proukr,proukr,dontcare
15464687,proukr,proukr,proukr
15465785,proukr,proukr,dontcare
15505922,dontcare,proukr,dontcare
15521789,proukr,proukr,proukr
15525413,proukr,proukr,dontcare
15573838,proukr,proukr,dontcare
15579178,pax,proukr,proukr
15593694,proukr,dontcare,pax
15651835,pax,proukr,proukr
15652824,proukr,proukr,proukr
15654137,proukr,proukr,dontcare
15666539,proukr,dontcare,pax
15679351,pax,proukr,dontcare
15693168,proukr,proukr,proukr
15713194,pax,proukr,dontcare
15719868,proukr,proukr,dontcare
15727736,proukr,proukr,dontcare
15741261,proukr,dontcare,pax
15770843,proukr,proukr,dontcare
15784401,proukr,proukr,dontcare
15794264,proukr,proukr,dontcare
15814107,proukr,dontcare,pax
15875670,dontcare,proukr,dontcare
15885005,proukr,proukr,dontcare
15901907,dontcare,proukr,dontcare
15925111,proukr,proukr,dontcare
15926892,proukr,proukr,dontcare
15933307,proukr,proukr,dontcare
15964748,proukr,proukr,dontcare
16136445,proukr,proukr,proukr
16156052,proukr,proukr,dontcare
16165381,proukr,dontcare,dontcare
16169151,proukr,proukr,proukr
16176454,proukr,proukr,proukr
