,node,category
0,290883,pax
1,1471971,proukr
2,2052911,pax
3,2827221,dontcare
4,3688111,proukr
5,4254951,proukr
6,4615341,proukr
7,4937571,pax
8,5404582,pax
9,5516892,proukr
10,5749002,proukr
11,5849252,proukr
12,6266142,proukr
13,6691762,proukr
14,7078452,proukr
15,7703052,proukr
16,7777302,proukr
17,8007502,proukr
18,8052182,proukr
19,9063952,proukr
20,9147152,proukr
21,9731332,dontcare
22,11025592,proukr
23,11076222,dontcare
24,11486222,dontcare
25,11567702,pax
26,12512292,proukr
27,12610772,pax
28,13301942,proukr
29,13525132,dontcare
30,13748912,proukr
31,14118020,prorus
32,14132126,proukr
33,14152382,pax
34,14214964,proukr
35,14218303,proukr
36,14314815,proukr
37,14410543,proukr
38,14430522,proukr
39,14446152,proukr
40,14449273,proukr
41,14465456,dontcare
42,14491785,proukr
43,14496536,proukr
44,14519073,proukr
45,14522241,proukr
46,14535500,proukr
47,14542602,pax
48,14568965,proukr
49,14615214,proukr
50,14719297,proukr
51,14761966,proukr
52,14804672,proukr
53,14808213,pax
54,14828950,proukr
55,14834002,proukr
56,14843373,pax
57,14932805,dontcare
58,14944543,pax
59,14986544,proukr
60,15021056,proukr
61,15029604,proukr
62,15055787,dontcare
63,15060697,proukr
64,15074415,proukr
65,15085192,pax
66,15090241,pax
67,15108492,pax
68,15121590,proukr
69,15176236,pax
70,15189852,proukr
71,15251710,proukr
72,15262299,pax
73,15265442,proukr
74,15341755,proukr
75,15372674,proukr
76,15389395,pax
77,15391466,proukr
78,15391966,proukr
79,15449744,proukr
80,15464687,proukr
81,15465785,proukr
82,15505922,dontcare
83,15521789,proukr
84,15525413,proukr
85,15573838,proukr
86,15579178,pax
87,15593694,proukr
88,15651835,pax
89,15652824,proukr
90,15654137,proukr
91,15666539,proukr
92,15679351,pax
93,15693168,proukr
94,15713194,pax
95,15719868,proukr
96,15727736,proukr
97,15741261,proukr
98,15770843,proukr
99,15784401,proukr
100,15794264,proukr
101,15814107,proukr
102,15875670,dontcare
103,15885005,proukr
104,15901907,dontcare
105,15925111,proukr
106,15926892,proukr
107,15933307,proukr
108,15964748,proukr
109,16136445,proukr
110,16156052,proukr
111,16165381,proukr
112,16169151,proukr
113,16176454,proukr
114,16177690,pax
115,16178962,prorus
116,16201287,proukr
117,16211420,proukr
118,16242277,proukr
119,16245971,proukr
120,16256826,dontcare
121,16258315,proukr
122,16265229,proukr
123,16280127,proukr
124,16311161,pax
125,16316179,proukr
126,16317768,proukr
127,16337019,pax
128,16362364,pax
129,16408207,pax
130,16439224,proukr
131,16476911,proukr
132,16484910,proukr
133,16493125,pax
134,16503453,proukr
135,16505083,dontcare
136,16505411,proukr
137,16523426,pax
138,16620002,proukr
139,16649251,proukr
140,16654294,proukr
141,16668042,proukr
142,16702010,dontcare
143,16709602,proukr
144,16715269,proukr
145,16716142,pax
146,16719914,proukr
147,16726866,prorus
148,16744260,proukr
149,16790655,proukr
150,16805438,proukr
151,16849114,pax
152,16867563,proukr
153,16905638,pax
154,16909343,proukr
155,16917772,prorus
156,16938726,proukr
157,16945095,proukr
158,16946848,pax
159,16967028,proukr
160,16969385,pax
161,16985474,proukr
162,16996245,pax
163,17001893,dontcare
164,17002648,proukr
165,17012173,pax
166,17027632,prorus
167,17031934,proukr
168,17057683,proukr
169,17113333,pax
170,17142825,proukr
171,17166900,pax
172,17168496,proukr
173,17178342,prorus
174,17204460,dontcare
175,17217502,proukr
176,17238730,pax
177,17238979,proukr
178,17240376,proukr
179,17290000,proukr
180,17302067,proukr
181,17303858,proukr
182,17311081,pax
183,17342027,proukr
184,17378581,proukr
185,17418011,proukr
186,17439850,proukr
187,17444647,proukr
